hunt_code,open_date,close_date,bag_limit_description,notes
3125,2026-12-11,2026-12-31,Antlerless elk,
3126,2026-09-11,2026-09-24,Bull elk,
3127,2026-09-11,2026-09-24,Bull elk,
3128,2026-09-11,2026-09-24,Bull elk,
3129,2026-09-11,2026-09-24,Bull elk,
3130,2026-09-11,2026-09-24,Bull elk,
3131,2026-09-11,2026-09-24,Bull elk,
3132,2026-09-11,2026-09-24,Bull elk,
3133,2026-09-11,2026-09-24,Bull elk,
3134,2026-09-11,2026-09-24,Bull elk,
3135,2026-09-11,2026-09-24,Bull elk,
3136,2026-09-11,2026-09-24,Bull elk,
3137,2026-09-11,2026-09-24,Bull elk,
3138,2026-09-11,2026-09-24,Bull elk,
3139,2026-09-11,2026-09-24,Bull elk,
3140,2026-09-11,2026-09-24,Bull elk,
3141,2026-09-11,2026-09-24,Bull elk,
3142,2026-09-11,2026-09-24,Bull elk,
3143,2026-09-25,2026-10-08,Bull elk,
3144,2026-09-11,2026-09-24,Bull elk,
3145,2026-09-11,2026-09-24,Bull elk,
3146,2026-09-11,2026-09-24,Bull elk,
3147,2026-09-11,2026-09-24,Bull elk,
3148,2026-09-11,2026-09-24,Bull elk,
3149,2026-09-11,2026-09-24,Bull elk,
3150,2026-09-11,2026-09-24,Bull elk,
3151,2026-11-06,2026-11-19,Bull elk,
3152,2026-11-06,2026-11-19,Bull elk,
3153,2026-11-13,2026-11-26,Bull elk,
3154,2026-11-13,2026-11-26,Bull elk,
3155,2026-11-13,2026-11-26,Bull elk,
3156,2026-11-20,2026-11-26,Bull elk,
3157,2026-11-13,2026-11-26,Bull elk,
3158,2026-11-13,2026-11-26,Bull elk,
3159,2026-11-13,2026-11-26,Bull elk,
3160,2026-11-13,2026-11-26,Bull elk,
3161,2026-11-13,2026-11-26,Bull elk,
3162,2026-11-13,2026-11-26,Bull elk,
3163,2026-11-13,2026-11-26,Bull elk,
3164,2026-11-13,2026-11-26,Bull elk,
3165,2026-11-13,2026-11-26,Bull elk,
3166,2026-11-13,2026-11-26,Bull elk,
3167,2026-11-13,2026-11-26,Bull elk,
3168,2026-09-11,2026-09-24,Antlerless elk,
3169,2027-07-31,2026-08-06,Antlerless elk,
