hunt_code,open_date,close_date,bag_limit_description,notes
33-4,2026-08-15,2026-09-30,Antlerless elk valid on private land east of Buffalo Creek and the Bar C Road (B.L.M. Road 6214),Regular season; Quota: 150
33-4,2026-10-09,2026-10-31,Antlerless elk valid in the entire area,Regular season
33-4-ARCH,2026-09-01,2026-09-30,Antlerless elk valid in the entire area,Special archery season
33-4,2026-11-07,2026-12-31,Antlerless elk,Regular season
33-6,2026-11-07,2026-12-31,Cow or calf,Regular season; Quota: 300
33-6-ARCH,2026-09-01,2026-09-30,Cow or calf,Special archery season
34-1,2026-10-09,2026-11-15,Any elk,Regular season; Quota: 800
34-1-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
34-1,2026-11-16,2026-12-31,Antlerless elk,Regular season
34-6,2026-08-15,2026-10-08,Cow or calf valid on private land on or within one (1) mile of irrigated land,Regular season; Quota: 700
34-6,2026-10-09,2026-12-31,Cow or calf valid off national forest,Regular season
34-6-ARCH,2026-09-01,2026-09-30,Cow or calf valid off national forest,Special archery season
35-1,2026-10-10,2026-11-05,Any elk,Regular season; Quota: 150
35-1-ARCH,2026-09-15,2026-09-30,Any elk,Special archery season
35-1,2026-11-15,2026-12-31,Antlerless elk,Regular season
35-4,2026-10-10,2026-11-05,Antlerless elk,Regular season; Quota: 175
35-4-ARCH,2026-09-15,2026-09-30,Antlerless elk,Special archery season
35-4,2026-11-15,2026-12-31,Antlerless elk,Regular season
35-6,2026-08-15,2026-10-09,Cow or calf valid on private land,Regular season; Quota: 425
35-6,2026-10-10,2026-11-05,Cow or calf valid off national forest,Regular season
35-6-ARCH,2026-09-15,2026-09-30,Cow or calf valid off national forest,Special archery season
35-6,2026-11-15,2026-12-31,Cow or calf valid off national forest,Regular season
35-9,2026-09-01,2026-09-30,"Any elk, archery only",Regular season; Quota: 75
36-Gen,2026-10-10,2026-11-05,Antlered elk valid on national forest; any elk off national forest,Regular season
36-Gen-ARCH,2026-09-15,2026-09-30,Antlered elk valid on national forest; any elk off national forest,Special archery season
36-4,2026-10-10,2026-11-05,Antlerless elk,Regular season; Quota: 300
36-4-ARCH,2026-09-15,2026-09-30,Antlerless elk,Special archery season
36-4,2026-11-15,2026-12-31,Antlerless elk,Regular season
36-6,2026-10-01,2026-10-09,Cow or calf valid off national forest north of Rock Creek,Regular season; Quota: 250
