License Year,Hunting,Deer Species,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bucks,Does,Fawns,Bow,Rifle,Less than 4 Points,4 or More Points
2023,441,wt,N,69,390,6,32,15,14,3,0,32,0,15
2023,441,wt,R,563,3177,6,152,86,66,0,0,149,27,59
2023,441,wt,SUM,631,3567,6,185,101,81,3,0,181,27,74
2023,442,all_deer,N,68,373,6,15,12,3,0,0,15,9,3
2023,442,all_deer,R,381,2539,7,118,82,34,3,7,108,20,61
2023,442,all_deer,SUM,449,2913,7,133,93,37,3,7,123,29,64
2023,442,md,N,68,373,6,3,3,0,0,0,3,3,0
2023,442,md,R,381,2539,7,47,44,3,0,3,44,10,34
2023,442,md,SUM,449,2913,7,50,47,3,0,3,47,13,34
2023,442,wt,N,68,373,6,12,9,3,0,0,12,6,3
2023,442,wt,R,381,2539,7,71,38,30,3,4,64,10,28
2023,442,wt,SUM,449,2913,7,83,47,33,3,4,76,16,31
2023,444,all_deer,N,60,332,6,57,33,24,0,0,57,0,33
2023,444,all_deer,R,690,3750,5,508,316,185,7,24,469,81,236
2023,444,all_deer,SUM,750,4082,5,565,349,209,7,24,525,81,268
2023,444,md,N,60,332,6,7,3,4,0,0,7,0,3
2023,444,md,R,690,3750,5,132,94,38,0,3,126,44,51
2023,444,md,SUM,750,4082,5,139,97,41,0,3,133,44,54
2023,444,wt,N,60,332,6,50,30,20,0,0,50,0,30
2023,444,wt,R,690,3750,5,376,222,147,7,20,343,37,185
2023,444,wt,SUM,750,4082,5,426,252,167,7,20,393,37,215
2023,445,all_deer,N,126,535,4,78,36,43,0,3,75,12,24
2023,445,all_deer,R,1100,5681,5,712,434,268,10,6,699,151,283
2023,445,all_deer,SUM,1225,6216,5,790,470,310,10,9,774,163,307
2023,445,md,N,126,535,4,30,27,3,0,3,27,12,15
2023,445,md,R,1100,5681,5,212,202,10,0,0,212,91,111
2023,445,md,SUM,1225,6216,5,242,229,13,0,3,239,103,126
2023,445,wt,N,126,535,4,49,9,40,0,0,49,0,9
2023,445,wt,R,1100,5681,5,499,232,257,10,6,486,60,172
2023,445,wt,SUM,1225,6216,5,548,241,297,10,6,535,60,181
2023,446,all_deer,N,214,1364,6,77,57,20,0,3,74,18,39
2023,446,all_deer,R,615,3536,6,267,189,79,0,3,264,70,118
2023,446,all_deer,SUM,829,4900,6,344,246,99,0,6,338,88,157
